No,URL,Delay,LossRate,Bandwidth
1,example.com,0,0,0.5
2,example.com,0,0,5
3,example.com,0,0,10
4,example.com,0,0,15
5,example.com,0,0,20
6,example.com,50,0,0.5
7,example.com,50,0,5
8,example.com,50,0,10
9,example.com,50,0,15
10,example.com,50,0,20
11,example.com,0,0.2,0.5
12,example.com,0,0.2,5
13,example.com,0,0.2,10
14,example.com,0,0.2,15
15,example.com,0,0.2,20
16,example.com,50,0.2,0.5
17,example.com,50,0.2,5
18,example.com,50,0.2,10
19,example.com,50,0.2,15
20,example.com,50,0.2,20
21,example.com,0,0.4,0.5
22,example.com,0,0.4,5
23,example.com,0,0.4,10
24,example.com,0,0.4,15
25,example.com,0,0.4,20
26,example.com,50,0.4,0.5
27,example.com,50,0.4,5
28,example.com,50,0.4,10
29,example.com,50,0.4,15
30,example.com,50,0.4,20
